Name                   Type               MACs            CPercent    Memory         MPercent    Params      PPercent    InShape        OutShape
Conv_228               Conv               656,384,000     0.67%       4,506,240      0.25%       102,560     0.14%       1x640x80x80    1x160x80x80
Conv_83                Conv               328,192,000     0.34%       2,868,480      0.16%       205,120     0.29%       1x640x40x40    1x320x40x40
Sigmoid_87             Sigmoid            65,536,000      0.07%       8,192,000      0.45%       0           0.00%       1x320x80x80    1x320x80x80
Sigmoid_229            Sigmoid            32,768,000      0.03%       4,096,000      0.23%       0           0.00%       1x160x80x80    1x160x80x80
Sigmoid_84             Sigmoid            16,384,000      0.02%       2,048,000      0.11%       0           0.00%       1x320x40x40    1x320x40x40
Mul_88                 Mul                2,048,000       0.00%       8,192,000      0.45%       0           0.00%       1x320x80x80    1x320x80x80
Mul_230                Mul                1,024,000       0.00%       4,096,000      0.23%       0           0.00%       1x160x80x80    1x160x80x80
Mul_85                 Mul                512,000         0.00%       2,048,000      0.11%       0           0.00%       1x320x40x40    1x320x40x40
Conv_89                Conv               1,475,072,000   1.51%       5,735,680      0.32%       921,920     1.30%       1x320x80x80    1x320x40x40
Sigmoid_90             Sigmoid            16,384,000      0.02%       2,048,000      0.11%       0           0.00%       1x320x40x40    1x320x40x40
Mul_91                 Mul                512,000         0.00%       2,048,000      0.11%       0           0.00%       1x320x40x40    1x320x40x40
Conv_93                Conv               262,553,600     0.27%       2,294,784      0.13%       164,096     0.23%       1x640x40x40    1x256x40x40
Conv_96                Conv               262,553,600     0.27%       2,294,784      0.13%       164,096     0.23%       1x640x40x40    1x256x40x40
Sigmoid_94             Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Sigmoid_97             Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_95                 Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_98                 Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Conv_99                Conv               944,128,000     0.96%       3,998,720      0.22%       590,080     0.83%       1x256x40x40    1x256x40x40
Sigmoid_100            Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_101                Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Conv_102               Conv               944,128,000     0.96%       3,998,720      0.22%       590,080     0.83%       1x256x40x40    1x256x40x40
Sigmoid_103            Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_104                Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Conv_105               Conv               944,128,000     0.96%       3,998,720      0.22%       590,080     0.83%       1x256x40x40    1x256x40x40
Sigmoid_106            Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_107                Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Conv_108               Conv               944,128,000     0.96%       3,998,720      0.22%       590,080     0.83%       1x256x40x40    1x256x40x40
Sigmoid_109            Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_110                Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Conv_111               Conv               944,128,000     0.96%       3,998,720      0.22%       590,080     0.83%       1x256x40x40    1x256x40x40
Sigmoid_112            Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_113                Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Conv_114               Conv               944,128,000     0.96%       3,998,720      0.22%       590,080     0.83%       1x256x40x40    1x256x40x40
Sigmoid_115            Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_116                Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Conv_118               Conv               2,623,488,000   2.68%       14,750,720     0.82%       1,639,680   2.32%       1x1280x40x40   1x1280x40x40
Sigmoid_119            Sigmoid            65,536,000      0.07%       8,192,000      0.45%       0           0.00%       1x1280x40x40   1x1280x40x40
Mul_120                Mul                2,048,000       0.00%       8,192,000      0.45%       0           0.00%       1x1280x40x40   1x1280x40x40
MaxPool_121            MaxPool            2,048,000       0.00%       2,048,000      0.11%       0           0.00%       1x1280x40x40   1x1280x20x20
Conv_125               Conv               1,311,744,000   1.34%       7,375,360      0.41%       819,840     1.16%       1x1280x40x40   1x640x40x40
Conv_191               Conv               655,872,000     0.67%       3,687,680      0.20%       409,920     0.58%       1x1280x40x40   1x320x40x40
Conv_122               Conv               327,936,000     0.33%       4,303,360      0.24%       819,840     1.16%       1x1280x20x20   1x640x20x20
Sigmoid_126            Sigmoid            32,768,000      0.03%       4,096,000      0.23%       0           0.00%       1x640x40x40    1x640x40x40
Sigmoid_192            Sigmoid            16,384,000      0.02%       2,048,000      0.11%       0           0.00%       1x320x40x40    1x320x40x40
Sigmoid_123            Sigmoid            8,192,000       0.01%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Mul_127                Mul                1,024,000       0.00%       4,096,000      0.23%       0           0.00%       1x640x40x40    1x640x40x40
Mul_193                Mul                512,000         0.00%       2,048,000      0.11%       0           0.00%       1x320x40x40    1x320x40x40
Mul_124                Mul                256,000         0.00%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Conv_128               Conv               1,474,816,000   1.51%       15,772,160     0.87%       3,687,040   5.21%       1x640x40x40    1x640x20x20
Sigmoid_129            Sigmoid            8,192,000       0.01%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Mul_130                Mul                256,000         0.00%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Conv_132               Conv               131,174,400     0.13%       1,721,344      0.10%       327,936     0.46%       1x1280x20x20   1x256x20x20
Conv_135               Conv               131,174,400     0.13%       1,721,344      0.10%       327,936     0.46%       1x1280x20x20   1x256x20x20
Sigmoid_133            Sigmoid            3,276,800       0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Sigmoid_136            Sigmoid            3,276,800       0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Mul_134                Mul                102,400         0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Mul_137                Mul                102,400         0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Conv_138               Conv               236,032,000     0.24%       2,769,920      0.15%       590,080     0.83%       1x256x20x20    1x256x20x20
Sigmoid_139            Sigmoid            3,276,800       0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Mul_140                Mul                102,400         0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Conv_141               Conv               236,032,000     0.24%       2,769,920      0.15%       590,080     0.83%       1x256x20x20    1x256x20x20
Sigmoid_142            Sigmoid            3,276,800       0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Mul_143                Mul                102,400         0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Conv_144               Conv               236,032,000     0.24%       2,769,920      0.15%       590,080     0.83%       1x256x20x20    1x256x20x20
Sigmoid_145            Sigmoid            3,276,800       0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Mul_146                Mul                102,400         0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Conv_147               Conv               236,032,000     0.24%       2,769,920      0.15%       590,080     0.83%       1x256x20x20    1x256x20x20
Sigmoid_148            Sigmoid            3,276,800       0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Mul_149                Mul                102,400         0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Conv_150               Conv               236,032,000     0.24%       2,769,920      0.15%       590,080     0.83%       1x256x20x20    1x256x20x20
Sigmoid_151            Sigmoid            3,276,800       0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Mul_152                Mul                102,400         0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Conv_153               Conv               236,032,000     0.24%       2,769,920      0.15%       590,080     0.83%       1x256x20x20    1x256x20x20
Sigmoid_154            Sigmoid            3,276,800       0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Mul_155                Mul                102,400         0.00%       409,600        0.02%       0           0.00%       1x256x20x20    1x256x20x20
Conv_157               Conv               655,872,000     0.67%       8,606,720      0.48%       1,639,680   2.32%       1x1280x20x20   1x1280x20x20
Sigmoid_158            Sigmoid            16,384,000      0.02%       2,048,000      0.11%       0           0.00%       1x1280x20x20   1x1280x20x20
Mul_159                Mul                512,000         0.00%       2,048,000      0.11%       0           0.00%       1x1280x20x20   1x1280x20x20
Conv_160               Conv               327,936,000     0.33%       4,303,360      0.24%       819,840     1.16%       1x1280x20x20   1x640x20x20
Conv_179               Conv               327,936,000     0.33%       4,303,360      0.24%       819,840     1.16%       1x1280x20x20   1x640x20x20
Sigmoid_161            Sigmoid            8,192,000       0.01%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Sigmoid_180            Sigmoid            8,192,000       0.01%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Mul_162                Mul                256,000         0.00%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Mul_181                Mul                256,000         0.00%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Conv_163               Conv               1,474,816,000   1.51%       15,772,160     0.87%       3,687,040   5.21%       1x640x20x20    1x640x20x20
Sigmoid_164            Sigmoid            8,192,000       0.01%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Mul_165                Mul                256,000         0.00%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Conv_166               Conv               164,096,000     0.17%       2,664,960      0.15%       410,240     0.58%       1x640x20x20    1x640x20x20
Sigmoid_167            Sigmoid            8,192,000       0.01%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Mul_168                Mul                256,000         0.00%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
MaxPool_169            MaxPool            6,400,000       0.01%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
MaxPool_170            MaxPool            20,736,000      0.02%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
MaxPool_171            MaxPool            43,264,000      0.04%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Conv_173               Conv               655,616,000     0.67%       7,580,160      0.42%       1,639,040   2.31%       1x2560x20x20   1x640x20x20
Sigmoid_174            Sigmoid            8,192,000       0.01%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Mul_175                Mul                256,000         0.00%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Conv_176               Conv               1,474,816,000   1.51%       15,772,160     0.87%       3,687,040   5.21%       1x640x20x20    1x640x20x20
Sigmoid_177            Sigmoid            8,192,000       0.01%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Mul_178                Mul                256,000         0.00%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Conv_183               Conv               327,936,000     0.33%       4,303,360      0.24%       819,840     1.16%       1x1280x20x20   1x640x20x20
Sigmoid_184            Sigmoid            8,192,000       0.01%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Mul_185                Mul                256,000         0.00%       1,024,000      0.06%       0           0.00%       1x640x20x20    1x640x20x20
Conv_186               Conv               82,048,000      0.08%       1,332,480      0.07%       205,120     0.29%       1x640x20x20    1x320x20x20
Sigmoid_187            Sigmoid            4,096,000       0.00%       512,000        0.03%       0           0.00%       1x320x20x20    1x320x20x20
Mul_188                Mul                128,000         0.00%       512,000        0.03%       0           0.00%       1x320x20x20    1x320x20x20
Resize_190             Resize             0               0.00%       2,048,016      0.11%       4           0.00%       1x320x20x20    1x320x40x40
Conv_195               Conv               262,553,600     0.27%       2,294,784      0.13%       164,096     0.23%       1x640x40x40    1x256x40x40
Conv_198               Conv               262,553,600     0.27%       2,294,784      0.13%       164,096     0.23%       1x640x40x40    1x256x40x40
Sigmoid_196            Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Sigmoid_199            Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_197                Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_200                Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Conv_201               Conv               944,128,000     0.96%       3,998,720      0.22%       590,080     0.83%       1x256x40x40    1x256x40x40
Sigmoid_202            Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_203                Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Conv_204               Conv               944,128,000     0.96%       3,998,720      0.22%       590,080     0.83%       1x256x40x40    1x256x40x40
Sigmoid_205            Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_206                Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Conv_207               Conv               944,128,000     0.96%       3,998,720      0.22%       590,080     0.83%       1x256x40x40    1x256x40x40
Sigmoid_208            Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_209                Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Conv_210               Conv               944,128,000     0.96%       3,998,720      0.22%       590,080     0.83%       1x256x40x40    1x256x40x40
Sigmoid_211            Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_212                Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Conv_213               Conv               944,128,000     0.96%       3,998,720      0.22%       590,080     0.83%       1x256x40x40    1x256x40x40
Sigmoid_214            Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_215                Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Conv_216               Conv               944,128,000     0.96%       3,998,720      0.22%       590,080     0.83%       1x256x40x40    1x256x40x40
Sigmoid_217            Sigmoid            13,107,200      0.01%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Mul_218                Mul                409,600         0.00%       1,638,400      0.09%       0           0.00%       1x256x40x40    1x256x40x40
Conv_220               Conv               655,872,000     0.67%       3,687,680      0.20%       409,920     0.58%       1x1280x40x40   1x320x40x40
Sigmoid_221            Sigmoid            16,384,000      0.02%       2,048,000      0.11%       0           0.00%       1x320x40x40    1x320x40x40
Mul_222                Mul                512,000         0.00%       2,048,000      0.11%       0           0.00%       1x320x40x40    1x320x40x40
Conv_223               Conv               82,176,000      0.08%       1,229,440      0.07%       51,360      0.07%       1x320x40x40    1x160x40x40
Sigmoid_224            Sigmoid            8,192,000       0.01%       1,024,000      0.06%       0           0.00%       1x160x40x40    1x160x40x40
Mul_225                Mul                256,000         0.00%       1,024,000      0.06%       0           0.00%       1x160x40x40    1x160x40x40
Resize_227             Resize             0               0.00%       4,096,000      0.23%       0           0.00%       1x160x40x40    1x160x80x80
Conv_232               Conv               262,963,200     0.27%       3,441,152      0.19%       41,088      0.06%       1x320x80x80    1x128x80x80
Conv_235               Conv               262,963,200     0.27%       3,441,152      0.19%       41,088      0.06%       1x320x80x80    1x128x80x80
Sigmoid_233            Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Sigmoid_236            Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_234                Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_237                Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Conv_238               Conv               944,537,600     0.96%       3,867,136      0.21%       147,584     0.21%       1x128x80x80    1x128x80x80
Sigmoid_239            Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_240                Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Conv_241               Conv               944,537,600     0.96%       3,867,136      0.21%       147,584     0.21%       1x128x80x80    1x128x80x80
Sigmoid_242            Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_243                Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Conv_244               Conv               944,537,600     0.96%       3,867,136      0.21%       147,584     0.21%       1x128x80x80    1x128x80x80
Sigmoid_245            Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_246                Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Conv_247               Conv               944,537,600     0.96%       3,867,136      0.21%       147,584     0.21%       1x128x80x80    1x128x80x80
Sigmoid_248            Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_249                Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Conv_250               Conv               944,537,600     0.96%       3,867,136      0.21%       147,584     0.21%       1x128x80x80    1x128x80x80
Sigmoid_251            Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_252                Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Conv_253               Conv               944,537,600     0.96%       3,867,136      0.21%       147,584     0.21%       1x128x80x80    1x128x80x80
Sigmoid_254            Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_255                Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Conv_257               Conv               656,384,000     0.67%       4,506,240      0.25%       102,560     0.14%       1x640x80x80    1x160x80x80
Sigmoid_258            Sigmoid            32,768,000      0.03%       4,096,000      0.23%       0           0.00%       1x160x80x80    1x160x80x80
